year,mean,sigma,mu3,skewness
1963,112722.54999999999,238287.91468500346,6.149826117575166e+16,4.545239649858495
1983,255399.02000000002,576079.0704507842,8.894083343200497e+17,4.6521627901649225
1989,320275.1,729220.2493836344,1.734003204232148e+18,4.471711082968627
1992,287795.14999999997,669541.7038277359,1.3941576603866568e+18,4.644928037005898
1995,284937.86000000004,647837.4098601288,1.2855674981279575e+18,4.728210627661156
1998,365908.21,878768.8444263746,3.279717783189062e+18,4.832952436923925
2001,492574.89999999997,1242595.3060323743,9.335420986257291e+18,4.865693869732162
2004,507774.7100000001,1249293.2718913145,9.387218196968942e+18,4.814417062102041
2007,582394.6900000001,1521162.3969944082,1.7195089003501457e+19,4.885147539566195
2010,484383.11,1248761.6291730131,8.822985047945853e+18,4.530821015989278
2013,485988.88,1331404.8137557583,1.1574742364926265e+19,4.904344449386324
2016,586413.12,1628495.200048476,2.10394805580916e+19,4.871644230649107
