Country,Latitude,Longitude,index
Burkina Faso,13.0,-2.0,21.3
Cote d'Ivoire,8.0,-5.0,20.7
Nigeria,10.0,8.0,11.5
Malawi,-13.5,34.0,26.3
South Africa,-29.0,24.0,6.1
Madagascar,-20.0,47.0,43.1
Rwanda,-2.0,30.0,36.1
Lesotho,-29.5,28.5,12.8
Sierra Leone,8.5,-11.5,25.5
Togo,8.0,1.17,16.2
Egypt,27.0,30.0,4.8
Chad,15.0,19.0,39.7
Cape Verde,16.0,-24.0,12.3
Mauritania,20.0,-12.0,11.3
Mali,17.0,-4.0,6.0
Guinea-Bissau,12.0,-15.0,26.0
Morocco,32.0,-5.0,3.9
Niger,16.0,8.0,14.4
Algeria,28.0,3.0,4.7
Botswana,-22.0,24.0,28.5
Mauritius,-20.28,57.55,5.8
Liberia,6.5,-9.5,38.8
Zimbabwe,-20.0,30.0,46.6
Guinea,11.0,-10.0,19.7
Cameroon,6.0,12.0,7.3
Uganda,1.0,32.0,41.4
Mozambique,-18.25,35.0,30.5
Ethiopia,8.0,38.0,21.4
Ghana,8.0,-2.0,6.1
Djibouti,11.5,43.0,19.7
Gabon,-1.0,11.75,9.4
Central African Republic,7.0,21.0,61.8
Sao Tome and Principe,1.0,7.0,10.2
Namibia,-22.0,17.0,25.4
Swaziland,-26.5,31.5,20.7
Congo,-1.0,15.0,37.5
Gambia,13.47,-16.57,9.6
Zambia,-15.0,30.0,44.5
Sudan,15.0,30.0,25.2
